"COUNTRY","YEAR","URBAN","PERWT","AGE","SEX","EDATTAIN","EDATTAIND","EMPSTAT","EMPSTATD","WGCARE","WGCOGN","WGCOMM","WGHEAR","WGMOBIL","WGVISION"
76,2000,2,13.79,23,1,2,212,1,110,NA,NA,NA,1,1,3
76,2000,2,12.34,23,2,2,212,3,300,NA,NA,NA,1,1,1
76,2000,1,1.23,10,1,1,120,1,110,NA,NA,NA,1,1,1
76,2000,2,11.61,6,2,1,110,0,0,NA,NA,NA,1,1,1
76,2000,2,9.58,34,1,1,130,1,110,NA,NA,NA,1,1,1
76,2000,2,8.97,20,2,2,221,1,110,NA,NA,NA,1,1,1
76,2000,2,9.11,28,2,1,120,1,110,NA,NA,NA,1,1,1
76,2000,2,12.4,17,2,2,212,3,300,NA,NA,NA,1,1,1
76,2000,2,8.44,22,1,3,311,1,110,NA,NA,NA,1,1,1
76,2000,2,12.12,28,1,1,130,1,110,NA,NA,NA,1,1,1
76,2000,2,10.73,57,2,1,120,3,300,NA,NA,NA,2,2,2
76,2000,2,11.25,18,1,3,311,2,200,NA,NA,NA,1,1,1
76,2000,2,8.45,8,1,1,120,0,0,NA,NA,NA,1,1,1
76,2000,1,12.76,17,1,1,120,2,200,NA,NA,NA,1,1,1
76,2000,2,11.25,48,2,2,212,3,300,NA,NA,NA,1,1,2
76,2000,1,3.93,16,2,2,212,2,200,NA,NA,NA,1,1,1
76,2000,2,6.34,24,1,3,311,1,110,NA,NA,NA,1,1,1
76,2000,2,11.22,42,2,3,311,2,200,NA,NA,NA,1,1,1
76,2000,2,10.34,21,1,3,312,3,300,NA,NA,NA,1,1,1
76,2000,2,9.72,10,2,1,120,3,300,NA,NA,NA,1,1,1
76,2000,2,8.74,38,2,1,120,3,300,NA,NA,NA,1,1,1
76,2000,2,4.51,22,2,1,120,3,300,NA,NA,NA,1,1,1
76,2000,2,8.56,35,1,4,400,1,110,NA,NA,NA,1,1,1
76,2000,2,8.29,26,1,1,130,1,110,NA,NA,NA,1,1,1
76,2000,2,4.03,15,2,1,120,1,110,NA,NA,NA,1,1,1
76,2000,2,8.36,18,1,1,120,3,300,NA,NA,NA,1,1,1
76,2000,2,10.11,36,2,3,311,1,110,NA,NA,NA,1,1,2
76,2000,1,9.05,16,1,1,110,3,300,NA,NA,NA,1,1,1
76,2000,1,14.55,50,2,1,110,3,300,NA,NA,NA,1,1,1
76,2000,1,3.2,10,1,1,120,3,300,NA,NA,NA,2,1,1
76,2000,2,7.93,7,1,1,120,0,0,NA,NA,NA,1,1,1
76,2000,2,10.88,7,2,1,120,0,0,NA,NA,NA,1,1,1
76,2000,1,3.93,49,1,1,110,3,300,NA,NA,NA,1,1,1
76,2000,2,10.8,33,1,1,110,3,300,NA,NA,NA,1,1,1
76,2000,1,10.34,43,1,1,120,1,110,NA,NA,NA,1,1,1
76,2000,2,9.05,8,2,1,120,0,0,NA,NA,NA,1,1,1
76,2000,2,5.28,9,1,1,120,0,0,NA,NA,NA,1,1,1
76,2000,2,4.83,46,1,1,110,1,110,NA,NA,NA,1,1,1
76,2000,2,9.71,32,1,1,120,1,110,NA,NA,NA,1,1,1
76,2000,2,9.79,58,2,3,311,3,300,NA,NA,NA,1,1,1
76,2000,1,8.26,29,2,2,212,1,110,NA,NA,NA,1,1,1
76,2000,2,12.13,14,1,2,212,3,300,NA,NA,NA,1,1,1
76,2000,2,6.3,18,1,1,120,3,300,NA,NA,NA,1,1,1
76,2000,2,5.38,25,1,2,212,1,110,NA,NA,NA,1,1,1
76,2000,2,7.31,18,2,3,311,3,300,NA,NA,NA,1,1,1
76,2000,2,10.98,73,2,2,212,3,300,NA,NA,NA,1,1,1
76,2000,2,10.84,16,2,2,212,2,200,NA,NA,NA,1,1,1
76,2000,2,9.37,32,2,1,130,2,200,NA,NA,NA,1,1,1
76,2000,1,4.11,56,1,1,110,1,120,NA,NA,NA,1,1,1
76,2000,2,6.21,16,1,2,212,2,200,NA,NA,NA,1,1,1
76,2000,2,6.88,12,2,1,110,3,300,NA,NA,NA,1,1,1
76,2000,2,11.66,26,1,2,221,1,120,NA,NA,NA,1,1,1
76,2000,2,8.61,4,2,0,0,0,0,NA,NA,NA,1,1,1
76,2000,2,11.51,6,1,1,110,0,0,NA,NA,NA,2,1,1
76,2000,2,8.25,13,2,1,130,3,300,NA,NA,NA,1,1,1
76,2000,2,12.12,26,1,1,130,1,110,NA,NA,NA,1,1,1
76,2000,2,11.64,18,1,2,212,3,300,NA,NA,NA,1,1,1
76,2000,2,9.94,17,1,1,110,1,110,NA,NA,NA,1,1,1
76,2000,2,8.58,16,2,2,212,2,200,NA,NA,NA,1,1,1
76,2000,1,3.95,11,2,1,120,3,300,NA,NA,NA,1,1,1
76,2000,2,10.73,36,2,1,130,1,110,NA,NA,NA,1,1,1
76,2000,2,11.24,21,1,3,311,1,110,NA,NA,NA,1,1,1
76,2000,2,6.3,3,1,0,0,0,0,NA,NA,NA,1,1,1
76,2000,2,3.21,3,1,0,0,0,0,NA,NA,NA,1,1,1
76,2000,2,11.63,37,2,3,312,1,110,NA,NA,NA,1,1,1
76,2000,2,5.32,14,1,2,212,1,110,NA,NA,NA,1,1,1
76,2000,2,11.92,18,1,2,212,2,200,NA,NA,NA,1,1,1
76,2000,1,6.13,67,2,1,110,3,300,NA,NA,NA,1,2,2
76,2000,1,4.89,6,1,1,110,0,0,NA,NA,NA,1,1,1
76,2000,2,13.51,7,1,1,110,0,0,NA,NA,NA,1,1,1
76,2000,1,11.14,14,1,2,212,3,300,NA,NA,NA,1,1,1
76,2000,2,11.2,22,2,1,130,1,110,NA,NA,NA,1,1,1
76,2000,2,12.62,11,2,1,120,3,300,NA,NA,NA,1,1,2
76,2000,1,2.17,11,2,1,110,3,300,NA,NA,NA,1,1,1
76,2000,2,10.01,8,1,1,120,0,0,NA,NA,NA,1,1,1
76,2000,2,10.87,34,1,2,212,1,110,NA,NA,NA,1,1,1
76,2000,2,5.21,13,2,1,110,3,300,NA,NA,NA,1,1,1
76,2000,2,14.53,71,2,3,311,3,300,NA,NA,NA,1,1,1
76,2000,2,9.4,44,1,1,120,3,300,NA,NA,NA,1,1,2
76,2000,2,14.04,21,1,3,311,1,110,NA,NA,NA,1,1,1
76,2000,2,12.04,45,2,3,311,1,110,NA,NA,NA,1,1,1
76,2000,2,12.15,30,1,1,130,1,110,NA,NA,NA,1,1,1
76,2000,2,12.85,19,1,2,212,2,200,NA,NA,NA,1,1,1
76,2000,1,9.72,24,1,2,212,1,110,NA,NA,NA,1,1,1
76,2000,2,4,6,2,1,120,0,0,NA,NA,NA,1,1,1
76,2000,2,13.59,25,2,2,221,3,300,NA,NA,NA,1,1,2
76,2000,2,9.86,29,2,2,221,1,110,NA,NA,NA,1,1,1
76,2000,2,8.79,11,1,1,120,3,300,NA,NA,NA,1,1,2
76,2000,2,8.64,16,1,2,212,1,110,NA,NA,NA,1,1,1
76,2000,2,14.15,13,2,1,130,3,300,NA,NA,NA,1,1,1
76,2000,1,3.02,32,1,1,120,1,110,NA,NA,NA,1,1,1
76,2000,2,5.76,35,2,1,130,1,110,NA,NA,NA,1,1,1
76,2000,1,7.89,13,1,1,110,3,300,NA,NA,NA,1,1,1
76,2000,2,4.78,18,2,2,212,2,200,NA,NA,NA,1,1,1
76,2000,2,7.26,45,1,4,400,1,110,NA,NA,NA,1,1,1
76,2000,2,10.15,19,1,2,212,2,200,NA,NA,NA,1,1,1
76,2000,2,10,10,1,1,120,3,300,NA,NA,NA,1,1,1
76,2000,2,9.29,19,1,3,311,3,300,NA,NA,NA,1,1,1
76,2000,2,11.27,47,2,1,120,3,300,NA,NA,NA,1,1,1
76,2000,2,5.54,34,1,1,120,1,110,NA,NA,NA,1,1,1
76,2010,2,23.79,17,2,2,221,1,110,NA,NA,NA,1,1,1
76,2010,2,4.9,12,2,2,212,3,300,NA,NA,NA,1,1,1
76,2010,2,5.57,16,2,2,212,3,300,NA,NA,NA,1,1,1
76,2010,2,1.77,9,1,1,120,0,0,NA,NA,NA,1,1,1
76,2010,2,10.98,14,2,2,221,3,300,NA,NA,NA,2,1,1
76,2010,2,1.83,75,2,1,110,3,300,NA,NA,NA,1,1,1
76,2010,2,21.18,37,2,3,311,1,110,NA,NA,NA,3,1,1
76,2010,2,19.53,23,2,3,311,1,110,NA,NA,NA,1,1,2
76,2010,2,2.45,62,1,1,110,1,110,NA,NA,NA,1,1,1
76,2010,2,4.95,59,1,1,110,1,110,NA,NA,NA,1,1,3
76,2010,2,9.13,15,2,2,212,1,110,NA,NA,NA,1,1,1
76,2010,2,2.57,7,1,1,120,0,0,NA,NA,NA,1,1,1
76,2010,1,2.74,55,1,1,110,1,110,NA,NA,NA,1,2,3
76,2010,2,10.44,9,1,1,120,0,0,NA,NA,NA,1,1,1
76,2010,2,10.03,62,2,1,120,3,300,NA,NA,NA,1,1,1
76,2010,2,9.63,49,2,2,212,3,300,NA,NA,NA,2,1,3
76,2010,2,3.91,14,2,2,212,3,300,NA,NA,NA,1,1,1
76,2010,2,10.53,31,2,3,311,1,110,NA,NA,NA,2,1,1
76,2010,2,5.64,18,2,2,212,3,300,NA,NA,NA,1,1,1
76,2010,2,10.13,25,1,4,400,1,110,NA,NA,NA,1,1,1
76,2010,1,13.85,11,1,1,120,3,300,NA,NA,NA,1,1,1
76,2010,2,10.07,22,1,3,312,3,300,NA,NA,NA,1,1,1
76,2010,1,11.47,56,2,1,120,1,110,NA,NA,NA,3,2,3
76,2010,2,11.27,56,1,4,400,3,300,NA,NA,NA,1,2,2
